wind_speed_kmph,blade_length_m,altitude_m,humidity_pct,turbine_output_mwh
81.4,48.4,68.6,128.1,6.74
33.1,62.6,81.5,118.2,10.95
102.1,55.1,56.4,94.9,4.41
118.9,76.4,119.9,85.0,4.78
88.8,23.3,130.4,95.9,6.27
119.3,27.1,97.9,89.5,3.27
103.6,30.0,51.2,89.1,1.91
32.7,74.5,156.9,60.9,12.66
50.2,30.5,93.4,97.3,6.64
45.9,43.6,163.7,179.4,15.76
83.7,42.3,136.1,110.1,6.96
111.6,26.9,173.2,172.9,12.66
83.5,35.7,148.9,101.1,8.71
117.5,38.6,98.0,145.4,4.43
94.6,51.7,76.5,125.7,7.73
81.8,45.4,50.7,169.9,11.17
93.7,21.2,85.4,57.0,0.25
76.2,73.0,190.4,179.3,16.3
114.6,47.5,79.1,61.1,1.03
44.6,32.7,175.9,82.8,7.56
