wind_speed_kmph,blade_length_m,altitude_m,humidity_pct,turbine_output_mwh
59.0,48.8,89.6,43.8,4.53
5.3,29.1,177.1,74.0,12.95
29.3,55.5,65.9,41.7,4.23
37.8,23.6,148.3,38.4,3.5
20.3,62.2,82.4,32.4,6.51
52.3,23.8,59.5,35.4,2.9
9.3,73.8,80.1,89.0,11.25
52.2,47.6,103.5,45.1,3.98
44.2,44.8,67.9,67.1,6.98
23.6,37.7,80.2,51.7,8.14
49.7,48.0,141.8,55.2,8.28
57.5,49.4,62.5,34.8,5.19
8.5,42.4,101.2,41.5,7.75
57.9,29.8,59.2,47.5,1.94
16.6,53.7,66.6,30.6,5.83
27.1,71.6,163.8,51.8,9.44
14.5,34.2,57.6,39.0,3.65
39.6,64.8,105.9,88.7,10.85
11.7,70.5,179.7,40.0,9.46
7.8,55.4,156.2,24.6,8.23
42.3,78.5,118.9,57.3,7.71
15.4,46.0,166.5,31.7,8.79
58.4,36.0,185.8,34.2,6.16
56.1,46.9,53.3,55.1,3.35
21.9,23.9,86.4,43.2,5.33
